LGA_NAME21,ITEM_STATU,count
ARMIDALE REGIONAL,Destroyed,1
ARMIDALE REGIONAL,Not an Item,1
ARMIDALE REGIONAL,Potential,44
ARMIDALE REGIONAL,SHR Listed,43
ARMIDALE REGIONAL,Section 170,18
BALLINA,Potential,2
BALRANALD,Potential,2
BALRANALD,SHR Listed,84
BALRANALD,Section 170,30
BATHURST REGIONAL,Destroyed,1
BATHURST REGIONAL,Potential,107
BATHURST REGIONAL,SHR Listed,104
BATHURST REGIONAL,Section 170,7
BEGA VALLEY,Potential,149
BEGA VALLEY,SHR Listed,38
BEGA VALLEY,Section 170,22
BELLINGEN,Destroyed,5
BELLINGEN,Potential,24
BELLINGEN,Section 170,80
BERRIGAN,Potential,13
BLACKTOWN,Potential,3
BLACKTOWN,Section 170,6
BLUE MOUNTAINS,Not an Item,1
BLUE MOUNTAINS,Potential,62
BLUE MOUNTAINS,SHR Listed,96
BLUE MOUNTAINS,Section 170,91
BOGAN,Potential,3
BOURKE,Destroyed,1
BOURKE,Potential,39
BOURKE,Section 170,127
BREWARRINA,Potential,119
BREWARRINA,Section 170,18
BYRON,Destroyed,1
BYRON,Not an Item,2
BYRON,Potential,10
BYRON,SHR Listed,11
BYRON,Section 170,2
CABONNE,Potential,32
CABONNE,SHR Listed,1
CABONNE,Section 170,4
CAMDEN,Potential,1
CANTERBURY-BANKSTOWN,Potential,22
CARRATHOOL,Potential,15
CARRATHOOL,SHR Listed,1
CARRATHOOL,Section 170,76
CENTRAL COAST (NSW),Destroyed,3
CENTRAL COAST (NSW),Not an Item,1
CENTRAL COAST (NSW),Potential,239
CENTRAL COAST (NSW),SHR Listed,133
CENTRAL COAST (NSW),Section 170,12
CENTRAL DARLING,Not an Item,8
CENTRAL DARLING,Potential,33
CENTRAL DARLING,SHR Listed,12
CENTRAL DARLING,Section 170,63
CESSNOCK,Not an Item,1
CESSNOCK,Potential,17
CESSNOCK,Section 170,1
CLARENCE VALLEY,Destroyed,6
CLARENCE VALLEY,Not an Item,7
CLARENCE VALLEY,Potential,101
CLARENCE VALLEY,Section 170,62
COBAR,Potential,48
COBAR,Section 170,8
COFFS HARBOUR,Not an Item,2
COFFS HARBOUR,Potential,7
COFFS HARBOUR,Section 170,6
COONAMBLE,Destroyed,1
COONAMBLE,Potential,36
COONAMBLE,Section 170,4
COOTAMUNDRA-GUNDAGAI REGIONAL,Potential,4
COWRA,Potential,1
DUBBO REGIONAL,Not an Item,1
DUBBO REGIONAL,Potential,24
DUBBO REGIONAL,SHR Listed,6
DUBBO REGIONAL,Section 170,6
DUNGOG,Potential,9
DUNGOG,Section 170,4
EUROBODALLA,Potential,57
EUROBODALLA,Section 170,25
FEDERATION,Potential,5
GILGANDRA,Potential,23
GILGANDRA,Section 170,4
GLEN INNES SEVERN,Not an Item,8
GLEN INNES SEVERN,Potential,78
GLEN INNES SEVERN,Section 170,50
GOULBURN MULWAREE,Potential,22
GOULBURN MULWAREE,Section 170,7
GREATER HUME SHIRE,Potential,2
GUNNEDAH,Potential,6
GUNNEDAH,Section 170,2
GWYDIR,Potential,2
GWYDIR,Section 170,1
HAWKESBURY,Potential,24
HAWKESBURY,SHR Listed,147
HAWKESBURY,Section 170,3
