HOITEMID,ITEMNAME,ADDRESS,LGA_NAME21,lat_long
5051469.0,Cataract Dam,"Cataract Road, Appin",WOLLONDILLY,"[-34.269989093209304, 150.8035312767521]"
5053198.0,Shop and Residence,105 George Street The Rocks,SYDNEY,"[-33.859674086842205, 151.2084488691531]"
5012221.0,St Marys Railway Station Group,"Great Western Railway, St Marys",PENRITH,"[-33.76208727607878, 150.77528550601906]"
5051393.0,Graythwaite,20 Edward Street North Sydney,NORTH SYDNEY,"[-33.84072026220202, 151.2030147194721]"
5053864.0,Kiama Reservoir (WS 0231),"Irvine Street, Kiama",KIAMA,"[-34.67349354269195, 150.8437718927876]"
5012010.0,Forbes Railway Station group,Parkes-Stockinbingal railway Forbes,FORBES,"[-33.379425585375756, 148.01219264089875]"
5045407.0,"St Josephs Convent, Chapel & Site (former)","Sulphide Street, Broken Hill",BROKEN HILL,"[-31.9528825654794, 141.45912070834802]"
5000003.0,Carcoar School of Arts,"Icely Street, Carcoar",BLAYNEY,"[-33.61180785650474, 149.1406050383425]"
5045498.0,Broken Hill Synagogue,165 Wolfram Street Broken Hill,BROKEN HILL,"[-31.956871526527976, 141.45951821499824]"
5045361.0,GA Zink & Sons Building,56 Oxford Street Darlinghurst,SYDNEY,"[-33.87847322855401, 151.21466023174153]"
5045599.0,Edgerley,18-18a Billyard Avenue Elizabeth Bay,SYDNEY,"[-33.86914609265684, 151.2271623382061]"
5012223.0,Stanmore Railway Station Group,"Great Southern and Western Railway, Stanmore",INNER WEST,"[-33.8943823799517, 151.16414613983727]"
5045313.0,Sir Joseph Banks Hotel (former),23 Anniversary Street Botany,BAYSIDE (NSW),"[-33.95516597398908, 151.20286739012653]"
5012220.0,St James Railway Station group,"City Circle railway, Sydney",SYDNEY,"[-33.87047331624405, 151.21194156520448]"
5053152.0,Captain Tench Arcade,111-115 George Street The Rocks,SYDNEY,"[-33.859858520841726, 151.20842997213117]"
5045614.0,Uniting Church and Hall,"29 Fitzgerald Street, Windsor",HAWKESBURY,"[-33.607547918171626, 150.82081089382544]"
5045651.0,"Substation - Bellevue, Cammeray",143 Bellevue Street Cammeray,NORTH SYDNEY,"[-33.81951923095454, 151.2126634689369]"
