LGA_CODE_2021,LGA_NAME21,country_of_birth,percentage
LGA10050,Albury,Australia ,0.8174383019847165
LGA10180,Armidale Regional,Australia ,0.7415838852097131
LGA10250,Ballina,Australia ,0.8143066701182156
LGA10300,Balranald,Australia ,0.7618025751072961
LGA10470,Bathurst Regional,Australia ,0.845791722845586
LGA10500,Bayside (NSW),Australia ,0.46376432302037934
LGA10550,Bega Valley,Australia ,0.8008320476085519
LGA10600,Bellingen,Australia ,0.7944658182894347
LGA10650,Berrigan,Australia ,0.8215464403583216
LGA10750,Blacktown,Australia ,0.5024785939612438
LGA10800,Bland,Australia ,0.8343420370050147
LGA10850,Blayney,Australia ,0.8691903543041897
LGA10900,Blue Mountains,Australia ,0.7922377649276217
LGA10950,Bogan,Australia ,0.8530326594090202
LGA11150,Bourke,Australia ,0.7629070691024623
LGA11200,Brewarrina,Australia ,0.7787114845938375
LGA11250,Broken Hill,Australia ,0.8569499915621308
LGA11300,Burwood,Australia ,0.36858695921963813
LGA11350,Byron,Australia ,0.6761038819622148
LGA11400,Cabonne,Australia ,0.8579549595510532
LGA11450,Camden,Australia ,0.7410051998891138
LGA11500,Campbelltown (NSW),Australia ,0.5947134815856154
LGA11520,Canada Bay,Australia ,0.5548330050143266
LGA11570,Canterbury-Bankstown,Australia ,0.49144309822587623
LGA11600,Carrathool,Australia ,0.7243440717369645
LGA11650,Central Coast (NSW),Australia ,0.7895047067593571
LGA11700,Central Darling,Australia ,0.7306720565942395
LGA11720,Cessnock,Australia ,0.8781406045713026
LGA11730,Clarence Valley,Australia ,0.8425252672144259
LGA11750,Cobar,Australia ,0.7447963800904978
LGA11800,Coffs Harbour,Australia ,0.7812531303215466
LGA12000,Coolamon,Australia ,0.8862845207704804
LGA12150,Coonamble,Australia ,0.8146125845033801
LGA12160,Cootamundra-Gundagai Regional,Australia ,0.8365082139112199
LGA12350,Cowra,Australia ,0.842356438741981
LGA12380,Cumberland,Australia ,0.39644437266510546
LGA12390,Dubbo Regional,Australia ,0.8131912180012754
LGA12700,Dungog,Australia ,0.8908862876254181
LGA12730,Edward River,Australia ,0.837966829733922
LGA12750,Eurobodalla,Australia ,0.7780309825692744
LGA12850,Fairfield,Australia ,0.3857030069034575
LGA12870,Federation,Australia ,0.8466179739599873
LGA12900,Forbes,Australia ,0.8650131926121372
LGA12930,Georges River,Australia ,0.5014114094400315
LGA12950,Gilgandra,Australia ,0.8298898071625345
LGA13010,Glen Innes Severn,Australia ,0.8121497422102668
LGA13310,Goulburn Mulwaree,Australia ,0.8224560755715561
LGA13340,Greater Hume Shire,Australia ,0.8478221415607986
LGA13450,Griffith,Australia ,0.691444804603562
LGA13550,Gunnedah,Australia ,0.8527837259100642
LGA13660,Gwydir,Australia ,0.8557575757575757
LGA13800,Hawkesbury,Australia ,0.8229491096043514
LGA13850,Hay,Australia ,0.7996539792387544
LGA13910,Hilltops,Australia ,0.8402452967466999
LGA14000,Hornsby,Australia ,0.5696586649389458
LGA14100,Hunters Hill,Australia ,0.6793910304484776
LGA14170,Inner West,Australia ,0.6236237401022879
LGA14220,Inverell,Australia ,0.8236538782783006
LGA14300,Junee,Australia ,0.8453846153846154
LGA14350,Kempsey,Australia ,0.831316839584996
LGA14400,Kiama,Australia ,0.8151776384535006
LGA14500,Ku-ring-gai,Australia ,0.5503143381906742
LGA14550,Kyogle,Australia ,0.7914943260154842
LGA14600,Lachlan,Australia ,0.8232786885245902
LGA14650,Lake Macquarie,Australia ,0.8560556283000941
LGA14700,Lane Cove,Australia ,0.5774337417337366
LGA14750,Leeton,Australia ,0.8043973370707779
LGA14850,Lismore,Australia ,0.8107275244517886
LGA14870,Lithgow,Australia ,0.8205814843152257
LGA14900,Liverpool,Australia ,0.5114127345689828
LGA14920,Liverpool Plains,Australia ,0.8310899973607813
LGA14950,Lockhart,Australia ,0.8710268948655256
LGA15050,Maitland,Australia ,0.8703784157114371
LGA15240,Mid-Coast,Australia ,0.8212622335296169
LGA15270,Mid-Western Regional,Australia ,0.8349704550686824
LGA15300,Moree Plains,Australia ,0.720400180532571
LGA15350,Mosman,Australia ,0.6116610071526624
LGA15520,Murray River,Australia ,0.8381663621196472
LGA15560,Murrumbidgee,Australia ,0.8227657004830918
LGA15650,Muswellbrook,Australia ,0.8452632213712838
LGA15700,Nambucca Valley,Australia ,0.8056385542168675
LGA15750,Narrabri,Australia ,0.8347283518490336
LGA15800,Narrandera,Australia ,0.843915343915344
LGA15850,Narromine,Australia ,0.812460468058191
LGA15900,Newcastle,Australia ,0.8063607397039992
LGA15950,North Sydney,Australia ,0.5555326207150756
LGA15990,Northern Beaches,Australia ,0.6668760028030619
LGA16100,Oberon,Australia ,0.7648830616583983
LGA16150,Orange,Australia ,0.8346311894113106
LGA16200,Parkes,Australia ,0.8624956551963852
LGA16260,Parramatta,Australia ,0.4211667843590679
LGA16350,Penrith,Australia ,0.7114793844967007
LGA16380,Port Macquarie-Hastings,Australia ,0.8248681908116701
LGA16400,Port Stephens,Australia ,0.8304031565385441
LGA16490,Queanbeyan-Palerang Regional,Australia ,0.7653884564779735
LGA16550,Randwick,Australia ,0.5537424140256237
LGA16610,Richmond Valley,Australia ,0.8354738520943507
LGA16700,Ryde,Australia ,0.47252577160016096
LGA16900,Shellharbour,Australia ,0.7941164846456849
LGA16950,Shoalhaven,Australia ,0.7995476107621019
LGA17000,Singleton,Australia ,0.8527782238638189
LGA17040,Snowy Monaro Regional,Australia ,0.7643184629939597
LGA17080,Snowy Valleys,Australia ,0.8224530831099196
LGA17100,Strathfield,Australia ,0.361596941465987
LGA17150,Sutherland Shire,Australia ,0.7792394205942847
