LGA_CODE_2021,LGA_NAME21,indigenous_status,percentage
LGA10050,ALBURY,Total Aboriginal and or Torres Strait Islander ,0.03821975463419002
LGA10180,ARMIDALE REGIONAL,Total Aboriginal and or Torres Strait Islander ,0.07550949913644214
LGA10250,BALLINA,Total Aboriginal and or Torres Strait Islander ,0.03965871044389243
LGA10300,BALRANALD,Total Aboriginal and or Torres Strait Islander ,0.05966898954703833
LGA10470,BATHURST REGIONAL,Total Aboriginal and or Torres Strait Islander ,0.07378925203698618
LGA10500,BAYSIDE (NSW),Total Aboriginal and or Torres Strait Islander ,0.011175482499742895
LGA10550,BEGA VALLEY,Total Aboriginal and or Torres Strait Islander ,0.03861642853202405
LGA10600,BELLINGEN,Total Aboriginal and or Torres Strait Islander ,0.042807329920617254
LGA10650,BERRIGAN,Total Aboriginal and or Torres Strait Islander ,0.031235266383781234
LGA10750,BLACKTOWN,Total Aboriginal and or Torres Strait Islander ,0.02985131115153748
LGA10800,BLAND,Total Aboriginal and or Torres Strait Islander ,0.06493506493506493
LGA10850,BLAYNEY,Total Aboriginal and or Torres Strait Islander ,0.056707974137931036
LGA10900,BLUE MOUNTAINS,Total Aboriginal and or Torres Strait Islander ,0.027004825957490503
LGA10950,BOGAN,Total Aboriginal and or Torres Strait Islander ,0.16809006211180125
LGA11150,BOURKE,Total Aboriginal and or Torres Strait Islander ,0.28554313099041534
LGA11200,BREWARRINA,Total Aboriginal and or Torres Strait Islander ,0.48735955056179775
LGA11250,BROKEN HILL,Total Aboriginal and or Torres Strait Islander ,0.09773251561357114
LGA11300,BURWOOD,Total Aboriginal and or Torres Strait Islander ,0.004114405406079345
LGA11350,BYRON,Total Aboriginal and or Torres Strait Islander ,0.018810663021189337
LGA11400,CABONNE,Total Aboriginal and or Torres Strait Islander ,0.047841306884480746
LGA11450,CAMDEN,Total Aboriginal and or Torres Strait Islander ,0.03260101604817818
LGA11500,CAMPBELLTOWN (NSW),Total Aboriginal and or Torres Strait Islander ,0.04079349394032326
LGA11520,CANADA BAY,Total Aboriginal and or Torres Strait Islander ,0.005544145539431894
LGA11570,CANTERBURY-BANKSTOWN,Total Aboriginal and or Torres Strait Islander ,0.0075006638954676266
LGA11600,CARRATHOOL,Total Aboriginal and or Torres Strait Islander ,0.08294470353097935
LGA11650,CENTRAL COAST (NSW),Total Aboriginal and or Torres Strait Islander ,0.049292413948685915
LGA11700,CENTRAL DARLING,Total Aboriginal and or Torres Strait Islander ,0.32729103726082576
LGA11720,CESSNOCK,Total Aboriginal and or Torres Strait Islander ,0.1020659008178509
LGA11730,CLARENCE VALLEY,Total Aboriginal and or Torres Strait Islander ,0.08028917944422187
LGA11750,COBAR,Total Aboriginal and or Torres Strait Islander ,0.13225952813067152
LGA11800,COFFS HARBOUR,Total Aboriginal and or Torres Strait Islander ,0.05792495257716418
LGA12000,COOLAMON,Total Aboriginal and or Torres Strait Islander ,0.05614849187935035
LGA12150,COONAMBLE,Total Aboriginal and or Torres Strait Islander ,0.33134560539279234
LGA12160,COOTAMUNDRA-GUNDAGAI REGIONAL,Total Aboriginal and or Torres Strait Islander ,0.06350735809390329
